skill_id,skill_name,category_id,category_name
1,Box and Whisker,1,Data Analysis & Probability
2,Circle Graph,1,Data Analysis & Probability
4,Histogram as Table or Graph,1,Data Analysis & Probability
5,Number Line,2,Algebra
8,Scatter Plot,1,Data Analysis & Probability
9,Stem and Leaf Plot,1,Data Analysis & Probability
10,Table,1,Data Analysis & Probability
11,Venn Diagram,1,Data Analysis & Probability
12,Mean,1,Data Analysis & Probability
13,Median,1,Data Analysis & Probability
14,Mode,1,Data Analysis & Probability
15,Range,1,Data Analysis & Probability
16,Counting Methods,1,Data Analysis & Probability
17,Probability of Two Distinct Events,1,Data Analysis & Probability
18,Probability of a Single Event,3,geometry
21,Interior Angles Figures with More than 3 Sides,3,geometry
22,Interior Angles Triangle,3,geometry
24,Congruence,3,geometry
25,Complementary and Supplementary Angles,3,geometry
26,Angles on Parallel Lines Cut by a Transversal,3,geometry
27,Pythagorean Theorem,3,geometry
32,Nets of 3D Figures,3,geometry
34,Unit Conversion Within a System,5,Measurement
35,Effect of Changing Dimensions of a Shape Prportionally,3,geometry
39,Area Circle,3,geometry
40,Circumference ,3,geometry
42,Perimeter of a Polygon,3,geometry
43,Reading a Ruler or Scale,5,Measurement
46,Calculations with Similar Figures,3,geometry
47,Conversion of Fraction Decimals Percents,5,Measurement
48,Equivalent Fractions,5,Measurement
49,Ordering Positive Decimals,4,Number Sense
50,Ordering Fractions,4,Number Sense
51,Ordering Integers,4,Number Sense
53,Ordering Real Numbers,4,Number Sense
54,Rounding,4,Number Sense
58,Addition Whole Numbers,4,Number Sense
61,Division Fractions,4,Number Sense
63,Estimation,4,Number Sense
64,Fraction Of,4,Number Sense
65,Least Common Multiple,4,Number Sense
67,Multiplication Fractions,4,Number Sense
69,Multiplication Whole Numbers,4,Number Sense
70,Percent Of,4,Number Sense
74,Subtraction Whole Numbers,4,Number Sense
75,Square Root,4,Number Sense
77,Finding Percents,4,Number Sense
79,Proportion,4,Number Sense
80,Scale Factor,4,Number Sense
81,Unit Rate,4,Number Sense
82,Scientific Notation,4,Number Sense
83,Divisibility Rules,4,Number Sense
84,Prime Number,4,Number Sense
85,Absolute Value,4,Number Sense
86,Exponents,4,Number Sense
92,Pattern Finding ,4,Number Sense
110,D.4.8-understanding-concept-of-probabilities,1,Data Analysis & Probability
163,Absolute Value,4,Number Sense
165,Algebraic Simplification,2,Algebra
166,Algebraic Solving,2,Algebra
173,Choose an Equation from Given Information,2,Algebra
190,Intercept,2,Algebra
193,Linear Equations,2,Algebra
203,Percent Discount,4,Number Sense
204,Percents,4,Number Sense
217,Rate,4,Number Sense
221,Slope,4,Number Sense
276,Multiplication and Division Positive Decimals,4,Number Sense
277,Addition and Subtraction Integers,4,Number Sense
278,Addition and Subtraction Positive Decimals,4,Number Sense
279,Multiplication and Division Integers,4,Number Sense
280,Addition and Subtraction Fractions,4,Number Sense
290,Reflection,3,geometry
292,Rotations,3,geometry
293,Translations,3,geometry
294,Area Irregular Figure,5,Measurement
295,Area Parallelogram,5,Measurement
296,Area Rectangle,5,Measurement
297,Area Trapezoid,5,Measurement
298,Area Triangle,5,Measurement
299,Surface Area Cylinder,5,Measurement
301,Surface Area Rectangular Prism,5,Measurement
303,Volume Cylinder,5,Measurement
307,Volume Rectangular Prism,5,Measurement
308,Volume Sphere,5,Measurement
309,"Order of Operations +,-,/,* () positive reals",4,Number Sense
310,Order of Operations All,4,Number Sense
311,Equation Solving Two or Fewer Steps,2,Algebra
312,Equation Solving More Than Two Steps,2,Algebra
314,"Angles - Obtuse, Acute, and Right",3,geometry
317,Greatest Common Factor,2,Algebra
321,Computation with Real Numbers,2,Algebra
322,Write Linear Equation from Ordered Pairs,2,Algebra
323,Write Linear Equation from Situation,2,Algebra
324,Recognize Linear Pattern,2,Algebra
325,Write Linear Equation from Graph,2,Algebra
331,Finding Slope From Situation,2,Algebra
333,Finding Slope From Equation,2,Algebra
334,Finding Slope from Ordered Pairs,2,Algebra
340,Distributive Property,2,Algebra
343,Midpoint,2,Algebra
346,Polynomial Factors,2,Algebra
348,Recognize Quadratic Pattern,2,Algebra
350,Solving Systems of Linear Equations,2,Algebra
356,Quadratic Formula to Solve Quadratic Equation,2,Algebra
362,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",2,Algebra
365,Interpreting Coordinate Graphs ,2,Algebra
368,Solving for a variable,2,Algebra
371,Simplifying Expressions positive exponents,2,Algebra
375,Solving Inequalities,2,Algebra
378,Solving Systems of Linear Equations by Graphing,2,Algebra
